slide_id,order,category,clean_filename,raw_filename,badge_text,title_text,subtitle_text,button_1_text,button_1_target,button_2_text,button_2_target,paired_shoes,paired_shoes_url,paired_bag,paired_bag_url,description_text,alt_text
"slide-11",11,"Flagship Hero","11_Flagship_Just_In_Arrivals.jpg","hero_just_in_stoffa_1788641110283.jpg","FLAGSHIP ARRIVALS","Flagship Just In","New Arrival Showcase","Explore Flagship Just In","Just In","View Catalog","All","Classic High K Wedge Gold","","Embellished Potli Bag Rose Gold","","Flagship arrival slide featuring champagne gold architectural Kolhapuri wedges and pearl zardozi potli.","Accesoire & Stoffa Style - 11_Flagship_Just_In_Arrivals.jpg featuring Flagship Just In"
"slide-12",12,"Flagship Hero","12_Flagship_Bridal_Couture.jpg","hero_bridal_stoffa_1788641121017.jpg","BRIDAL COUTURE","Bridal Couture","Couture Wedding Edit","Explore Bridal Couture","Bridal","View Catalog","All","Bridal Border High Wedge - Rose Gold","","Border Clutch Bag Gold","","Bridal collection hero featuring gold crystal embellished architectural bridal wedges and silk drawstring potli.","Accesoire & Stoffa Style - 12_Flagship_Bridal_Couture.jpg featuring Bridal Couture"
"slide-13",13,"Flagship Hero","13_Flagship_Cruise_Resort.jpg","hero_cruise_stoffa_1788641132038.jpg","CRUISE READY","Cruise Ready","Destination Luxury","Explore Cruise Ready","Cruise Ready","View Catalog","All","Classic High K Wedge Champagne","","Border Flat Bag Gold","","Resort and cruise collection hero showing metallic wedge sandals on sunlit terrace.","Accesoire & Stoffa Style - 13_Flagship_Cruise_Resort.jpg featuring Cruise Ready"
"slide-14",14,"Catalog & Editorial","14_Shoes_Catalog_Hero_Model.jpg","shoes_hero_model_1788745307294.jpg","FOOTWEAR ARCHIVE","Footwear Collection Model Edit","Handcrafted Footwear Archive","Explore Footwear Collection Model Edit","Shoes","View Catalog","All","Classic High K Wedge Antique gold","","Border Clutch Bag Gold","","Editorial showcase of Stöffa handcrafted footwear in natural sunlight.","Accesoire & Stoffa Style - 14_Shoes_Catalog_Hero_Model.jpg featuring Footwear Collection Model Edit"
"slide-15",15,"Catalog & Editorial","15_Bags_Catalog_Hero_Model.jpg","bags_hero_model_1788745321490.jpg","ARTISANAL BAGS","Artisanal Handbags & Potlis","Hand-Embellished Evening Bags","Explore Artisanal Handbags & Potlis","Bags","View Catalog","All","Bridal Border High Wedge - Rose Gold","","Embellished Potli Bag Pewter","","Editorial showcase of Stöffa handcrafted zardozi bags with pearl tassels.","Accesoire & Stoffa Style - 15_Bags_Catalog_Hero_Model.jpg featuring Artisanal Handbags & Potlis"
"slide-16",16,"Catalog & Editorial","16_Resort_Chic_Hero_Model.jpg","resort_chic_hero_1788745334192.jpg","RESORT CHIC","Resort Chic & Golden Hour","Effortless Summer Sophistication","Explore Resort Chic & Golden Hour","Resort Chic","View Catalog","All","Classic High K Wedge Slate","","Border Flat Bag Gold","","Sun-drenched model edit pairing resort slip-on sandals with evening clutches.","Accesoire & Stoffa Style - 16_Resort_Chic_Hero_Model.jpg featuring Resort Chic & Golden Hour"
"slide-17",17,"Catalog & Editorial","17_Festive_Brunch_Hero_Model.jpg","festive_brunch_hero_1788745376178.jpg","FESTIVE BRUNCH","Festive Brunch & Day Occasions","Daytime Celebration Edit","Explore Festive Brunch & Day Occasions","Festive Brunch","View Catalog","All","Classic High K Wedge Champagne","","Embellished Potli Bag Rose Gold","","Golden morning light editorial showcasing lightweight low wedges and daytime potli bags.","Accesoire & Stoffa Style - 17_Festive_Brunch_Hero_Model.jpg featuring Festive Brunch & Day Occasions"
"slide-18",18,"Catalog & Editorial","18_Cocktail_Soiree_Hero_Model.jpg","cocktail_soiree_hero_1788745390554.jpg","COCKTAIL SOIRÉE","Cocktail Soirée & Evening Glamour","Black Tie & Rooftop Aperitivos","Explore Cocktail Soirée & Evening Glamour","Cocktail Soirée","View Catalog","All","Classic High K Wedge Gold","","Border Clutch Bag Gold","","Midnight glamorous editorial highlighting high-wedge arches and crystal clutches.","Accesoire & Stoffa Style - 18_Cocktail_Soiree_Hero_Model.jpg featuring Cocktail Soirée & Evening Glamour"
"slide-19",19,"Denim & Casual","19_Sunny_Boardwalk_Denim_Hero.jpg","model_jeans_sunny_boardwalk_1788743314430.jpg","CASUAL DENIM","Sunny Boardwalk","Everyday Luxury & Casual Ease","Explore Sunny Boardwalk","Denim Casual","View Catalog","All","Classic High K Wedge Slate","","Border Flat Bag Gold","","Model in relaxed denim and white blouse walking on boardwalk wearing comfortable Kolhapuri flats.","Accesoire & Stoffa Style - 19_Sunny_Boardwalk_Denim_Hero.jpg featuring Sunny Boardwalk"
"slide-20",20,"Denim & Casual","20_Sunny_Cafe_Denim_Hero.jpg","model_jeans_sunny_cafe_1788743326809.jpg","SIDEWALK CAFÉ","Sunny Sidewalk Café","Al Fresco Lunches & Weekend Chic","Explore Sunny Sidewalk Café","Café Chic","View Catalog","All","Classic High K Wedge Champagne","","Border Clutch Bag Gold","","Model in blue jeans seated at outdoor European café with metallic slip-on wedges visible.","Accesoire & Stoffa Style - 20_Sunny_Cafe_Denim_Hero.jpg featuring Sunny Sidewalk Café"
"slide-21",21,"Denim & Casual","21_White_Jeans_Terrace_Hero.jpg","model_white_jeans_sunny_terrace_1788743339895.jpg","WHITE RESORT CASUAL","White Denim Sun Terrace","Monochrome Resort Casual","Explore White Denim Sun Terrace","White Linen","View Catalog","All","Classic High K Wedge Rose Gold","","Embellished Potli Bag Antique","","Model in white denim and linen on sunny terrace showcasing metallic wedge sandals.","Accesoire & Stoffa Style - 21_White_Jeans_Terrace_Hero.jpg featuring White Denim Sun Terrace"
"slide-22",22,"Denim & Casual","22_Palm_Garden_Denim_Hero.jpg","model_jeans_sunny_palm_garden_1788743352587.jpg","PALM GARDEN","Palm Garden","Subtropical Oasis & Metallic Accents","Explore Palm Garden","Garden Elegance","View Catalog","All","Classic High K Wedge Gold","","Border Flat Bag Gold","","Sunlit garden setting featuring relaxed denim and golden Kolhapuri wedges.","Accesoire & Stoffa Style - 22_Palm_Garden_Denim_Hero.jpg featuring Palm Garden"
"slide-23",23,"Catalog & Editorial","23_High_Wedge_Editorial.jpg","high_wedge_editorial_1788644931264.jpg","HIGH WEDGE ARCHES","High Wedge Architectural Arches","Statement Silhouette Edit","Explore High Wedge Architectural Arches","High wedges - 3.5 inch","View Catalog","All","Bridal Border High Wedge - Rose Gold","","Border Clutch Bag Gold","","Editorial spotlight on 3.5-inch cushioned architectural wedges.","Accesoire & Stoffa Style - 23_High_Wedge_Editorial.jpg featuring High Wedge Architectural Arches"
"slide-24",24,"Catalog & Editorial","24_Higher_Wedge_Couture.jpg","higher_wedge_couture_1788644942844.jpg","HIGHER WEDGE COUTURE","Higher Wedge Red Carpet Couture","Maximum Height with Dual-Density Foam","Explore Higher Wedge Red Carpet Couture","Higher wedge - 4.25 inch","View Catalog","All","Classic High K Wedge Gold","","Embellished Potli Bag Pewter","","High-elevation bridal and gala wedge silhouette.","Accesoire & Stoffa Style - 24_Higher_Wedge_Couture.jpg featuring Higher Wedge Red Carpet Couture"
"slide-25",25,"Catalog & Editorial","25_Low_Wedge_Garden.jpg","low_wedge_garden_1788644921598.jpg","LOW WEDGE GARDEN","Low Wedge Garden & All-Day Comfort","2-Inch Dual-Density Comfort","Explore Low Wedge Garden & All-Day Comfort","Low wedges - 2.5 inch","View Catalog","All","Classic High K Wedge Champagne","","Border Flat Bag Gold","","Everyday 2-inch low wedge in champagne metallic leather.","Accesoire & Stoffa Style - 25_Low_Wedge_Garden.jpg featuring Low Wedge Garden & All-Day Comfort"
"slide-26",26,"Catalog & Editorial","26_Celebration_Festive.jpg","celebration_festive_1788644994416.jpg","CELEBRATION NIGHTS","Celebration & Sangeet Nights","Festive Sparkle & Dance Comfort","Explore Celebration & Sangeet Nights","Celebration & Festive","View Catalog","All","Gota Border High K Wedge Silver","","Embellished Potli Bag Rose Gold","","Festive dance-floor ready footwear with non-slip grip.","Accesoire & Stoffa Style - 26_Celebration_Festive.jpg featuring Celebration & Sangeet Nights"
"slide-27",27,"Catalog & Editorial","27_Flats_Resort_Model.jpg","flats_resort_model_1788644983578.jpg","KOLHAPURI FLATS","Artisanal Kolhapuri Flats","Zero-Heel Handcrafted Heritage","Explore Artisanal Kolhapuri Flats","Flats","View Catalog","All","Classic High K Wedge Slate","","Border Flat Bag Gold","","Traditional hand-braided Kolhapuri flats with memory foam footbeds.","Accesoire & Stoffa Style - 27_Flats_Resort_Model.jpg featuring Artisanal Kolhapuri Flats"
"slide-28",28,"Catalog & Editorial","28_Block_Heels_Fashion.jpg","block_heels_fashion_1788644965270.jpg","ARCHITECTURAL BLOCK HEELS","Architectural Block Heel Edit","Contemporary Stable Elevation","Explore Architectural Block Heel Edit","Block heels","View Catalog","All","Classic High K Wedge Champagne","","Border Clutch Bag Gold","","Modern geometric block heels for corporate and evening versatile wear.","Accesoire & Stoffa Style - 28_Block_Heels_Fashion.jpg featuring Architectural Block Heel Edit"
